date,open,high,low,close,volume,ema8,ema21,spread,spread_pct
2021-08-03,438.440000,441.280000,436.100000,441.150000,58053900,438.650184,435.453560,3.196624,0.724612
2021-08-04,439.780000,441.120000,438.730000,438.980000,46732200,438.723476,435.774145,2.949331,0.671860
2021-08-05,440.220000,441.850000,439.880000,441.760000,38969700,439.398259,436.318314,3.079946,0.697199
2021-08-06,442.100000,442.940000,441.800000,442.490000,46930000,440.085313,436.879376,3.205937,0.724522
2021-08-09,442.460000,442.800000,441.310000,442.130000,41222600,440.539688,437.356705,3.182982,0.719920
2021-08-10,442.610000,443.440000,441.880000,442.680000,43339300,441.015313,437.840641,3.174671,0.717148
2021-08-11,443.820000,443.880000,442.620000,443.780000,44034300,441.629688,438.380583,3.249105,0.732143
2021-08-12,443.620000,445.260000,442.660000,445.110000,38909400,442.403090,438.992348,3.410742,0.766269
2021-08-13,445.590000,445.940000,445.070000,445.920000,39470300,443.184626,439.622135,3.562491,0.798908
2021-08-16,444.530000,447.110000,442.870000,446.970000,73740000,444.025820,440.290123,3.735698,0.835783
2021-08-17,444.240000,444.960000,440.850000,444.040000,92673900,444.028971,440.631020,3.397951,0.765235
2021-08-18,442.960000,444.630000,438.920000,439.180000,89351900,442.951422,440.499110,2.452313,0.558384
