setup,direction,ticker,entry_date,signal_idx,entry_idx,signal_close,adr14,real_stop_dist_adr,fw_min_adr,fw_max_adr,fw_first_adr,fw_last_adr
htf,long,OSCR,2024-01-24,727,728,11.17,0.7377,-0.2847,-0.2847,-1.0047,-0.2847,-1.0047
htf,long,PL,2025-09-11,1098,1099,8.97,0.5738,-0.2788,-0.2788,-0.8975,-0.2788,-0.8975
htf,long,PRCH,2023-11-24,973,974,1.36,0.1466,0.2047,0.2047,-1.2963,0.2047,-1.2963
htf,long,PRTA,2021-06-07,1364,1365,28.65,1.7104,0.0877,0.0877,-5.6361,0.0877,-5.6361
htf,long,QUBT,2024-11-20,1603,1604,2.54,0.4957,-0.6254,-0.6254,-3.9742,-0.6254,-3.9742
htf,long,REAL,2024-11-13,1353,1354,3.78,0.2242,-0.223,-0.223,-0.8028,-0.223,-0.2676
htf,long,RHP,2020-11-13,1225,1226,47.2396,2.7035,-0.07,-0.07,-0.9925,-0.07,-0.8812
htf,long,RR,2024-12-23,275,276,1.27,0.2228,-0.404,-0.404,-3.7704,-0.404,-3.7704
htf,long,SOUN,2024-02-26,457,458,3.92,0.3525,0.2269,0.2269,-7.319,0.2269,-5.6169
htf,long,SOUN,2024-11-29,650,651,7.88,0.7727,-0.0324,-0.0324,-1.1777,-0.0324,-0.8671
htf,long,XPEV,2020-11-12,53,54,33.53,3.0343,-0.6822,-0.6822,-1.8027,-0.6822,-1.8027
