setup,direction,ticker,cluster_leftmost,cluster_rightmost,cluster_size,is_winner,rightmost_date,rightmost_close,adr14,bar_f1_max,bar_f2_min,had_earnings,race_bars,max_fav_adr,max_adv_adr,bars_to_fav,bars_to_adv,rule_pass,t1,t2
dtss,short,ET,606,606,1,0,2022-05-27,8.535,0.2982888028392761,,69.0625,1,44,6.140417967734486,1.915404513928654,25,7,0,56.875,76.69375000000002
dtss,short,ET,610,611,2,0,2022-06-06,8.6888,0.24543638454037472,,68.1875,1,39,8.08933821383641,1.70122991419814,20,2,0,56.875,76.69375000000002
dtss,short,ET,613,613,1,0,2022-06-08,8.9818,0.23259964511765846,,68.1875,1,37,9.795448842476878,-0.031171936619590772,18,1,0,56.875,76.69375000000002
dtss,short,KRC,300,300,1,0,2021-03-12,52.3119,1.652638862688896,,86.625,1,31,2.241651731205179,0.42635005532340137,9,1,0,56.875,76.69375000000002
dtss,short,KRC,1471,1471,1,0,2025-11-07,42.0458,1.0740777061388818,41.1875,73.625,0,60,8.260328008325748,0.09009385007303555,60,13,0,56.875,76.69375000000002
dtss,short,KRC,1473,1473,1,0,2025-11-11,40.8467,1.1044694984931636,41.1875,73.625,1,59,6.947348179017885,1.1732943260014246,58,11,0,56.875,76.69375000000002
dtss,short,CUZ,301,301,1,0,2021-03-15,28.635,0.8105409581050684,,86.3125,1,31,2.6647893244049303,0.6159129575453756,8,31,0,56.875,76.69375000000002
dtss,short,PGEN,301,301,1,0,2021-03-15,9.51,0.6771428571428572,,55.9375,1,38,4.71097046413502,0.11814345991561191,37,1,0,56.875,76.69375000000002
dtss,short,PGEN,303,303,1,0,2021-03-17,8.96,0.6357142857142859,,55.9375,1,36,4.152808988764044,0.17303370786516759,35,1,0,56.875,76.69375000000002
dtss,short,FLR,302,302,1,0,2021-03-16,22.38,1.3068571428571432,,82.0625,1,36,2.662877131613467,1.8433537385220828,7,2,0,56.875,76.69375000000002
dtss,short,FWONA,302,302,1,0,2021-03-16,40.77040100097656,1.4388806819915771,,71.3125,1,36,3.7846975326538086,0.3817770779132843,8,2,0,56.875,76.69375000000002
dtss,short,FWONA,326,326,1,0,2021-04-20,39.411399841308594,0.8853544592857361,,72.875,1,12,1.5241951942443848,2.0356855392456055,12,3,0,56.875,76.69375000000002
dtss,short,FWONA,328,329,2,0,2021-04-23,40.635398864746094,0.8998050689697266,,72.875,1,9,2.8600106239318848,0.5784546136856079,9,4,0,56.875,76.69375000000002
dtss,short,APLE,303,303,1,0,2021-03-17,12.0343,0.43493659270343216,,87.5625,1,34,2.8816523263456775,0.3326519587749624,6,32,0,56.875,76.69375000000002
dtss,short,SBRA,303,304,2,0,2021-03-18,12.1366,0.34929565714912086,,79.125,1,32,1.99301679715687,0.8817870398833851,5,29,0,56.875,76.69375000000002
dtss,short,SBRA,1058,1058,1,0,2024-03-18,12.3405,0.24056300799367467,,77.4375,1,35,3.165426156650763,2.641049710252818,22,8,0,56.875,76.69375000000002
